symbol,trades,winrate,expectancy,profit_factor,avg_pnl,avg_duration_s
MYX/USDT,13,0.23076923076923078,-0.21057521095568618,0.4093184956569795,-0.21057521095568618,
MON/USDT,10,0.1,-0.254999142408753,0.1139646136199804,-0.254999142408753,
BCH/USDT,13,0.0,-0.26514193557783405,0.0,-0.26514193557783405,
BERA/USDT,20,0.2,-0.26753818825641773,0.3244964047816709,-0.26753818825641773,
HYPE/USDT,52,0.0,-0.2935531101416189,0.0,-0.2935531101416189,
BGB/USDT,49,0.0,-0.29462687441827357,0.0,-0.29462687441827357,
ADA/USDT,59,0.01694915254237288,-0.3008120812356473,0.015248707470530547,-0.3008120812356473,
GRASS/USDT,55,0.07272727272727272,-0.3038300792924915,0.03761368171756828,-0.3038300792924915,
DOGE/USDT,53,0.0,-0.3151519628170415,0.0,-0.3151519628170415,
SUI/USDT,40,0.0,-0.3439515593929532,0.0,-0.3439515593929532,
