symbol,trades,winrate,expectancy,profit_factor,avg_pnl,avg_duration_s
MYX/USDT,13,0.23076923076923078,-0.21057521095568618,0.4093184956569795,-0.21057521095568618,
MON/USDT,10,0.1,-0.254999142408753,0.1139646136199804,-0.254999142408753,
BCH/USDT,13,0.0,-0.26514193557783405,0.0,-0.26514193557783405,
BERA/USDT,20,0.2,-0.26753818825641773,0.3244964047816709,-0.26753818825641773,
HYPE/USDT,52,0.0,-0.2935531101416189,0.0,-0.2935531101416189,
BGB/USDT,49,0.0,-0.29462687441827357,0.0,-0.29462687441827357,
ADA/USDT,59,0.01694915254237288,-0.3008120812356473,0.015248707470530547,-0.3008120812356473,
GRASS/USDT,55,0.07272727272727272,-0.3038300792924915,0.03761368171756828,-0.3038300792924915,
DOGE/USDT,53,0.0,-0.3151519628170415,0.0,-0.3151519628170415,
SUI/USDT,40,0.0,-0.3439515593929532,0.0,-0.3439515593929532,
ALCH/USDT,22,0.0,-0.34787144837608325,0.0,-0.34787144837608325,
0G/USDT,38,0.02631578947368421,-0.35681589619829684,0.018703336110152215,-0.35681589619829684,
MOODENG/USDT,75,0.09333333333333334,-0.3574211817169833,0.08319964081576824,-0.3574211817169833,
PENGU/USDT,86,0.0,-0.35747003613202916,0.0,-0.35747003613202916,
XRP/USDT,68,0.0,-0.358659767473979,0.0,-0.358659767473979,
XLM/USDT,85,0.0,-0.35933707117495417,0.0,-0.35933707117495417,
LTC/USDT,54,0.0,-0.35944323196888167,0.0,-0.35944323196888167,
ASTER/USDT,50,0.0,-0.3676625037980619,0.0,-0.3676625037980619,
TRX/USDT,70,0.0,-0.37748805271881825,0.0,-0.37748805271881825,
H/USDT,56,0.125,-0.3829234583970082,0.11834206697290335,-0.3829234583970082,
ZRO/USDT,9,0.0,-0.3881345161662092,0.0,-0.3881345161662092,
MORPHO/USDT,44,0.022727272727272728,-0.3908460366285291,0.043435372534586854,-0.3908460366285291,
ETH/USDT,50,0.02,-0.3923231365068623,0.021427063090360673,-0.3923231365068623,
KITE/USDT,34,0.11764705882352941,-0.41025480689184196,0.19307250765421508,-0.41025480689184196,
LINK/USDT,61,0.0,-0.41123141788194917,0.0,-0.41123141788194917,
TAO/USDT,93,0.043010752688172046,-0.4116114339680077,0.0714591668343315,-0.4116114339680077,
UNI/USDT,65,0.0,-0.41282078630767344,0.0,-0.41282078630767344,
FF/USDT,8,0.0,-0.4158965381097982,0.0,-0.4158965381097982,
LPT/USDT,80,0.0375,-0.42930037973247054,0.009007740781726815,-0.42930037973247054,
WLD/USDT,110,0.02727272727272727,-0.4327818126966588,0.007808780132131135,-0.4327818126966588,
PEPE/USDT,117,0.0,-0.43403270871581906,0.0,-0.43403270871581906,
HBAR/USDT,47,0.0,-0.4415289256108767,0.0,-0.4415289256108767,
BNB/USDT,98,0.0,-0.45102014581051225,0.0,-0.45102014581051225,
SOL/USDT,95,0.0,-0.4699843600802712,0.0,-0.4699843600802712,
ZEC/USDT,46,0.0,-0.4722697577935486,0.0,-0.4722697577935486,
AVAX/USDT,25,0.0,-0.4742797141500493,0.0,-0.4742797141500493,
SONIC/USDT,42,0.023809523809523808,-0.4918105597443498,0.033731747669043195,-0.4918105597443498,
BTC/USDT,27,0.0,-0.6118836094996313,0.0,-0.6118836094996313,
AAVE/USDT,11,0.0,-0.654505553927239,0.0,-0.654505553927239,
XAUT/USDT,25,0.0,-0.7632308156287698,0.0,-0.7632308156287698,
LA/USDT,3,0.0,-0.7729711647866718,0.0,-0.7729711647866718,
STO/USDT,1,0.0,-0.9930016930039613,0.0,-0.9930016930039613,
