coin,trades,expectancy,profit_factor,winrate,avg_win,avg_loss,gross_profit,gross_loss_abs
MYX/USDT,13,-0.21057521095568618,0.4093184956569795,0.23076923076923078,0.632320612256001,-0.46344395791919235,1.896961836768003,4.634439579191923
MON/USDT,10,-0.254999142408753,0.1139646136199804,0.1,0.32798778902918124,-0.31977546812407903,0.32798778902918124,2.8779792131167112
BCH/USDT,13,-0.26514193557783405,0.0,0.0,0.0,-0.26514193557783405,0.0,3.4468451625118424
BERA/USDT,20,-0.26753818825641773,0.3244964047816709,0.2,0.6425959894628684,-0.4950717326862394,2.5703839578514738,7.92114772297983
HYPE/USDT,52,-0.2935531101416189,0.0,0.0,0.0,-0.2935531101416189,0.0,15.264761727364181
BGB/USDT,49,-0.29462687441827357,0.0,0.0,0.0,-0.29462687441827357,0.0,14.436716846495406
ADA/USDT,59,-0.3008120812356473,0.015248707470530547,0.01694915254237288,0.2748234325200123,-0.31073683147281383,0.2748234325200123,18.022736225423202
GRASS/USDT,55,-0.3038300792924915,0.03761368171756828,0.07272727272727272,0.1632788264155688,-0.3404660718970453,0.6531153056622752,17.36376966674931
DOGE/USDT,53,-0.3151519628170415,0.0,0.0,0.0,-0.3151519628170415,0.0,16.7030540293032
SUI/USDT,40,-0.3439515593929532,0.0,0.0,0.0,-0.3439515593929532,0.0,13.758062375718128
ALCH/USDT,22,-0.34787144837608325,0.0,0.0,0.0,-0.34787144837608325,0.0,7.653171864273832
0G/USDT,38,-0.35681589619829684,0.018703336110152215,0.02631578947368421,0.25843215360004546,-0.3734442218685223,0.25843215360004546,13.817436209135325
MOODENG/USDT,75,-0.3574211817169833,0.08319964081576824,0.09333333333333334,0.3475283083431834,-0.42998951157611803,2.4326981584022835,29.239286787176027
PENGU/USDT,86,-0.35747003613202916,0.0,0.0,0.0,-0.35747003613202916,0.0,30.742423107354508
XRP/USDT,68,-0.358659767473979,0.0,0.0,0.0,-0.358659767473979,0.0,24.38886418823057
XLM/USDT,85,-0.35933707117495417,0.0,0.0,0.0,-0.35933707117495417,0.0,30.543651049871105
LTC/USDT,54,-0.35944323196888167,0.0,0.0,0.0,-0.35944323196888167,0.0,19.40993452631961
ASTER/USDT,50,-0.3676625037980619,0.0,0.0,0.0,-0.3676625037980619,0.0,18.383125189903097
TRX/USDT,70,-0.37748805271881825,0.0,0.0,0.0,-0.37748805271881825,0.0,26.424163690317275
H/USDT,56,-0.3829234583970082,0.11834206697290335,0.125,0.4111885288982868,-0.4963680280106218,2.8783197022880076,24.32203337252047
ZRO/USDT,9,-0.3881345161662092,0.0,0.0,0.0,-0.3881345161662092,0.0,3.493210645495883
MORPHO/USDT,44,-0.3908460366285291,0.043435372534586854,0.022727272727272728,0.7808859741999961,-0.41809561827570413,0.7808859741999961,17.978111585855277
ETH/USDT,50,-0.3923231365068623,0.021427063090360673,0.02,0.42951998163203625,-0.4090954450403092,0.42951998163203625,20.045676806975152
KITE/USDT,34,-0.41025480689184196,0.19307250765421508,0.11764705882352941,0.834369708937639,-0.5762047423357728,3.337478835750556,17.286142270073185
LINK/USDT,61,-0.41123141788194917,0.0,0.0,0.0,-0.41123141788194917,0.0,25.0851164907989
TAO/USDT,93,-0.4116114339680077,0.0714591668343315,0.043010752688172046,0.7364908048367722,-0.46321153458844727,2.945963219347089,41.22582657837181
UNI/USDT,65,-0.41282078630767344,0.0,0.0,0.0,-0.41282078630767344,0.0,26.833351109998773
FF/USDT,8,-0.4158965381097982,0.0,0.0,0.0,-0.4158965381097982,0.0,3.3271723048783857
LPT/USDT,80,-0.42930037973247054,0.009007740781726815,0.0375,0.10405803549336619,-0.4500805777282824,0.3121741064800986,34.656204485077744
WLD/USDT,110,-0.4327818126966588,0.007808780132131135,0.02727272727272727,0.12489016727648394,-0.44841747568656,0.37467050182945183,47.98066989846192
PEPE/USDT,117,-0.43403270871581906,0.0,0.0,0.0,-0.43403270871581906,0.0,50.78182691975083
HBAR/USDT,47,-0.4415289256108767,0.0,0.0,0.0,-0.4415289256108767,0.0,20.751859503711206
BNB/USDT,98,-0.45102014581051225,0.0,0.0,0.0,-0.45102014581051225,0.0,44.1999742894302
SOL/USDT,95,-0.4699843600802712,0.0,0.0,0.0,-0.4699843600802712,0.0,44.648514207625766
ZEC/USDT,46,-0.4722697577935486,0.0,0.0,0.0,-0.4722697577935486,0.0,21.724408858503235
AVAX/USDT,25,-0.4742797141500493,0.0,0.0,0.0,-0.4742797141500493,0.0,11.856992853751233
SONIC/USDT,42,-0.4918105597443498,0.033731747669043195,0.023809523809523808,0.7210880061664052,-0.5213934515958316,0.7210880061664052,21.377131515429095
BTC/USDT,27,-0.6118836094996313,0.0,0.0,0.0,-0.6118836094996313,0.0,16.520857456490045
AAVE/USDT,11,-0.654505553927239,0.0,0.0,0.0,-0.654505553927239,0.0,7.199561093199629
XAUT/USDT,25,-0.7632308156287698,0.0,0.0,0.0,-0.7632308156287698,0.0,19.080770390719245
LA/USDT,3,-0.7729711647866718,0.0,0.0,0.0,-0.7729711647866718,0.0,2.3189134943600154
STO/USDT,1,-0.9930016930039613,0.0,0.0,0.0,-0.9930016930039613,0.0,0.9930016930039613
