symbol,trades,winrate,expectancy,profit_factor,avg_pnl,avg_duration_s
STO/USDT,1,0.0,-0.9930016930039613,0.0,-0.9930016930039613,
LA/USDT,3,0.0,-0.7729711647866718,0.0,-0.7729711647866718,
XAUT/USDT,25,0.0,-0.7632308156287698,0.0,-0.7632308156287698,
AAVE/USDT,11,0.0,-0.654505553927239,0.0,-0.654505553927239,
BTC/USDT,27,0.0,-0.6118836094996313,0.0,-0.6118836094996313,
SONIC/USDT,42,0.023809523809523808,-0.4918105597443498,0.033731747669043195,-0.4918105597443498,
AVAX/USDT,25,0.0,-0.4742797141500493,0.0,-0.4742797141500493,
ZEC/USDT,46,0.0,-0.4722697577935486,0.0,-0.4722697577935486,
SOL/USDT,95,0.0,-0.4699843600802712,0.0,-0.4699843600802712,
BNB/USDT,98,0.0,-0.45102014581051225,0.0,-0.45102014581051225,
