symbol,trades,winrate,expectancy,profit_factor,avg_pnl,avg_duration_s
FF/USDT,11,0.09090909090909091,-0.27290024412807046,0.5685510645622273,-0.27290024412807046,
USDC/USDT,17,0.0,-0.4160300665036272,0.0,-0.4160300665036272,
ALCH/USDT,36,0.0,-0.4242674385024555,0.0,-0.4242674385024555,
VELVET/USDT,12,0.08333333333333333,-0.4321833423969102,0.36098896567384986,-0.4321833423969102,
GRASS/USDT,122,0.10655737704918032,-0.4764904358257766,0.19126063968146284,-0.4764904358257766,
HYPE/USDT,165,0.012121212121212121,-0.5674494348881808,0.0020361409946951423,-0.5674494348881808,
TAO/USDT,183,0.060109289617486336,-0.5799632034220137,0.05202322985664424,-0.5799632034220137,
PEPE/USDT,226,0.0,-0.596571487833122,0.0,-0.596571487833122,
BGB/USDT,116,0.0,-0.5970781388669344,0.0,-0.5970781388669344,
BCH/USDT,128,0.0,-0.6357141696718401,0.0,-0.6357141696718401,
