score,score_bucket,trade_count,winrate,expectancy,profit_factor
score_C,0-0.2,0,,,
score_C,0.2-0.4,735,0.055782312925170066,-0.7890052650286004,0.08201975138799783
score_C,0.4-0.6,486,0.06378600823045268,-1.1342239619966694,0.07288285970465509
score_C,0.6-0.8,34,0.029411764705882353,-0.8776708262381999,0.11704781016587838
score_C,0.8-1.0,0,,,
score_S,0-0.2,7446,0.029546065001343002,-0.7817881871277601,0.04267701248367777
score_S,0.2-0.4,0,,,
score_S,0.4-0.6,0,,,
score_S,0.6-0.8,0,,,
score_S,0.8-1.0,0,,,
score_H,0-0.2,0,,,
score_H,0.2-0.4,0,,,
score_H,0.4-0.6,7446,0.029546065001343002,-0.7817881871277601,0.04267701248367777
score_H,0.6-0.8,0,,,
score_H,0.8-1.0,0,,,
