instId,trades,winrate,expectancy,profit_factor,avg_pnl
FF/USDT,11,0.09090909090909091,-0.27290024412807046,0.5685510645622273,-0.27290024412807046
USDC/USDT,17,0.0,-0.4160300665036272,0.0,-0.4160300665036272
ALCH/USDT,36,0.0,-0.4242674385024555,0.0,-0.4242674385024555
VELVET/USDT,12,0.08333333333333333,-0.4321833423969102,0.36098896567384986,-0.4321833423969102
GRASS/USDT,122,0.10655737704918032,-0.4764904358257766,0.19126063968146284,-0.4764904358257766
HYPE/USDT,165,0.012121212121212121,-0.5674494348881808,0.0020361409946951423,-0.5674494348881808
TAO/USDT,183,0.060109289617486336,-0.5799632034220137,0.05202322985664424,-0.5799632034220137
PEPE/USDT,226,0.0,-0.596571487833122,0.0,-0.596571487833122
BGB/USDT,116,0.0,-0.5970781388669344,0.0,-0.5970781388669344
BCH/USDT,128,0.0,-0.6357141696718401,0.0,-0.6357141696718401
LPT/USDT,139,0.06474820143884892,-0.6378262911345274,0.04259861746766144,-0.6378262911345274
ZEC/USDT,256,0.03515625,-0.6422444411323562,0.15359663297501536,-0.6422444411323562
ASTER/USDT,198,0.005050505050505051,-0.6464018115746475,0.0009369352525050419,-0.6464018115746475
MYX/USDT,48,0.1875,-0.647747027958513,0.17541725115279744,-0.647747027958513
SONIC/USDT,62,0.04838709677419355,-0.6829852308216604,0.021168851051105636,-0.6829852308216604
XRP/USDT,199,0.0,-0.6954064886018445,0.0,-0.6954064886018445
LINK/USDT,237,0.0,-0.7062920919601338,0.0,-0.7062920919601338
DOGE/USDT,175,0.0,-0.7141727062607043,0.0,-0.7141727062607043
MON/USDT,103,0.04854368932038835,-0.7185256351218958,0.02724971346043996,-0.7185256351218958
MOODENG/USDT,152,0.05921052631578947,-0.7262101039903798,0.0615102672845395,-0.7262101039903798
SOL/USDT,220,0.0,-0.7343836661627123,0.0,-0.7343836661627123
TRX/USDT,209,0.0,-0.7413969265465705,0.0,-0.7413969265465705
BNB/USDT,245,0.0,-0.7447447705005287,0.0,-0.7447447705005287
PAXG/USDT,25,0.0,-0.7511269959869287,0.0,-0.7511269959869287
ETH/USDT,183,0.00546448087431694,-0.761939868340024,0.0030709717822669613,-0.761939868340024
XLM/USDT,259,0.0,-0.7691119491151993,0.0,-0.7691119491151993
ADA/USDT,214,0.028037383177570093,-0.7756789061508731,0.003965467063657651,-0.7756789061508731
LTC/USDT,221,0.0,-0.7770215660542574,0.0,-0.7770215660542574
WLD/USDT,289,0.01384083044982699,-0.7779297119759421,0.0055817800666350965,-0.7779297119759421
PI/USDT,124,0.16129032258064516,-0.7849735374716716,0.1819650553667663,-0.7849735374716716
UNI/USDT,261,0.0,-0.7866641142212597,0.0,-0.7866641142212597
ZRO/USDT,81,0.12345679012345678,-0.8139184536533574,0.06320810838096982,-0.8139184536533574
PENGU/USDT,233,0.008583690987124463,-0.8140195540834938,0.001643034553472266,-0.8140195540834938
SUI/USDT,247,0.004048582995951417,-0.8214172972879831,0.0007413564711147592,-0.8214172972879831
MORPHO/USDT,169,0.04142011834319527,-0.829240681051341,0.010425070311187019,-0.829240681051341
AIO/USDT,3,0.0,-0.8335523173759812,0.0,-0.8335523173759812
AVAX/USDT,198,0.0,-0.839241048004882,0.0,-0.839241048004882
BERA/USDT,93,0.043010752688172046,-0.8407806250014118,0.0318262636118419,-0.8407806250014118
RECALL/USDT,17,0.11764705882352941,-0.8429939002286941,0.15615544851996194,-0.8429939002286941
0G/USDT,159,0.06289308176100629,-0.8741475237945271,0.049432712942435245,-0.8741475237945271
BTC/USDT,197,0.0,-0.8790173063742521,0.0,-0.8790173063742521
LA/USDT,66,0.045454545454545456,-0.8950641658817773,0.029214375130795577,-0.8950641658817773
H/USDT,227,0.1013215859030837,-0.8993572988393801,0.15034779045334035,-0.8993572988393801
HBAR/USDT,239,0.0,-0.9185358617024288,0.0,-0.9185358617024288
AAVE/USDT,199,0.005025125628140704,-1.003491426382252,0.0011064063173690047,-1.003491426382252
XAUT/USDT,96,0.0,-1.0334059856041,0.0,-1.0334059856041
B2/USDT,11,0.0,-1.1385638060646697,0.0,-1.1385638060646697
STO/USDT,19,0.05263157894736842,-1.1958047371448917,0.050373433371518526,-1.1958047371448917
RIVER/USDT,60,0.13333333333333333,-1.25199970179875,0.12752609817571234,-1.25199970179875
HOME/USDT,116,0.1206896551724138,-1.3060113866776744,0.14000862763630587,-1.3060113866776744
KITE/USDT,179,0.16759776536312848,-1.3284494975411953,0.21285605054509732,-1.3284494975411953
APR/USDT,2,0.0,-1.3928459959495763,0.0,-1.3928459959495763
