symbol,trades,winrate,expectancy,profit_factor,avg_pnl,avg_duration_s
APR/USDT,2,0.0,-1.3928459959495763,0.0,-1.3928459959495763,
KITE/USDT,179,0.16759776536312848,-1.3284494975411953,0.21285605054509732,-1.3284494975411953,
HOME/USDT,116,0.1206896551724138,-1.3060113866776744,0.14000862763630587,-1.3060113866776744,
RIVER/USDT,60,0.13333333333333333,-1.25199970179875,0.12752609817571234,-1.25199970179875,
STO/USDT,19,0.05263157894736842,-1.1958047371448917,0.050373433371518526,-1.1958047371448917,
B2/USDT,11,0.0,-1.1385638060646697,0.0,-1.1385638060646697,
XAUT/USDT,96,0.0,-1.0334059856041,0.0,-1.0334059856041,
AAVE/USDT,199,0.005025125628140704,-1.003491426382252,0.0011064063173690047,-1.003491426382252,
HBAR/USDT,239,0.0,-0.9185358617024288,0.0,-0.9185358617024288,
H/USDT,227,0.1013215859030837,-0.8993572988393801,0.15034779045334035,-0.8993572988393801,
