symbol,trade_count,winrate,expectancy,profit_factor,avg_win,avg_loss,avg_duration,trades,avg_pnl,avg_duration_s
APR/USDT,4,0.25,0.7635353618146721,1.6060406909484468,8.09364043284494,-1.679832995195417,,4,0.7635353618146721,
FF/USDT,11,0.09090909090909091,-0.27290024412807046,0.5685510645622273,3.9558214827198888,-0.6957724168128664,,11,-0.27290024412807046,
USDC/USDT,17,0.0,-0.4160300665036272,0.0,,-0.4160300665036272,,17,-0.4160300665036272,
ALCH/USDT,36,0.0,-0.4242674385024555,0.0,,-0.4242674385024555,,36,-0.4242674385024555,
VELVET/USDT,12,0.08333333333333333,-0.4321833423969102,0.36098896567384986,2.9297788496159,-0.7378162689435293,,12,-0.4321833423969102,
GRASS/USDT,127,0.10236220472440945,-0.516530788706712,0.1732605766353305,1.0575178094948963,-0.6960275586770708,,127,-0.516530788706712,
HYPE/USDT,165,0.012121212121212121,-0.5674494348881808,0.0020361409946951423,0.09551556534360196,-0.5755839747683253,,165,-0.5674494348881808,
TAO/USDT,183,0.060109289617486336,-0.5799632034220137,0.05202322985664424,0.5294908519645132,-0.6509166604525474,,183,-0.5799632034220137,
PEPE/USDT,226,0.0,-0.596571487833122,0.0,,-0.596571487833122,,226,-0.596571487833122,
BCH/USDT,135,0.007407407407407408,-0.6321291620657417,0.0015850013619431182,0.1354746812320135,-0.6378575489560234,,135,-0.6321291620657417,
