coin,hour_of_day,weekday,date,volatility_bucket,score_C_bucket,score_S_bucket,score_H_bucket,leverage_bucket,pnl_net
BERA/USDT,13,Saturday,2026-03-07,V2: 0.000983..0.0338,C1: -0.717..0.677,S1: -0.001..0,H1: 0.499..0.5,,-0.06960724949118643
TAO/USDT,13,Saturday,2026-03-07,V2: 0.000983..0.0338,C1: -0.717..0.677,S1: -0.001..0,H1: 0.499..0.5,,-0.19796327410399925
TAO/USDT,13,Saturday,2026-03-07,V2: 0.000983..0.0338,C1: -0.717..0.677,S1: -0.001..0,H1: 0.499..0.5,,-0.7374793637087877
WLD/USDT,13,Saturday,2026-03-07,V2: 0.000983..0.0338,C1: -0.717..0.677,S1: -0.001..0,H1: 0.499..0.5,,-0.30292077446397697
MOODENG/USDT,13,Saturday,2026-03-07,V2: 0.000983..0.0338,C1: -0.717..0.677,S1: -0.001..0,H1: 0.499..0.5,,-0.3612073103832042
ASTER/USDT,13,Saturday,2026-03-07,V1: -0.001..0.000983,C1: -0.717..0.677,S1: -0.001..0,H1: 0.499..0.5,,-0.28212940000000875
MYX/USDT,13,Saturday,2026-03-07,V2: 0.000983..0.0338,C1: -0.717..0.677,S1: -0.001..0,H1: 0.499..0.5,,-0.45835005980798704
HYPE/USDT,13,Saturday,2026-03-07,V2: 0.000983..0.0338,C1: -0.717..0.677,S1: -0.001..0,H1: 0.499..0.5,,-0.29019434065438954
BERA/USDT,13,Saturday,2026-03-07,V1: -0.001..0.000983,C1: -0.717..0.677,S1: -0.001..0,H1: 0.499..0.5,,-0.10920627765600127
HYPE/USDT,13,Saturday,2026-03-07,V2: 0.000983..0.0338,C1: -0.717..0.677,S1: -0.001..0,H1: 0.499..0.5,,-0.09823415457920066
TAO/USDT,13,Saturday,2026-03-07,V2: 0.000983..0.0338,C1: -0.717..0.677,S1: -0.001..0,H1: 0.499..0.5,,-0.13097254801677652
0G/USDT,13,Saturday,2026-03-07,V2: 0.000983..0.0338,C1: -0.717..0.677,S1: -0.001..0,H1: 0.499..0.5,,-0.09483157724797439
WLD/USDT,13,Saturday,2026-03-07,V1: -0.001..0.000983,C1: -0.717..0.677,S1: -0.001..0,H1: 0.499..0.5,,-0.40998359999995804
ASTER/USDT,13,Saturday,2026-03-07,V1: -0.001..0.000983,C1: -0.717..0.677,S1: -0.001..0,H1: 0.499..0.5,,-0.32277000974401826
ASTER/USDT,13,Saturday,2026-03-07,V1: -0.001..0.000983,C1: -0.717..0.677,S1: -0.001..0,H1: 0.499..0.5,,-0.19993958060799516
WLD/USDT,13,Saturday,2026-03-07,V1: -0.001..0.000983,C1: -0.717..0.677,S1: -0.001..0,H1: 0.499..0.5,,-0.3044149743199922
HYPE/USDT,13,Saturday,2026-03-07,V2: 0.000983..0.0338,C1: -0.717..0.677,S1: -0.001..0,H1: 0.499..0.5,,-0.379271792899984
MYX/USDT,13,Saturday,2026-03-07,V2: 0.000983..0.0338,C1: -0.717..0.677,S1: -0.001..0,H1: 0.499..0.5,,-0.270009616464009
WLD/USDT,13,Saturday,2026-03-07,V2: 0.000983..0.0338,C1: -0.717..0.677,S1: -0.001..0,H1: 0.499..0.5,,-0.7862895898799791
HYPE/USDT,13,Saturday,2026-03-07,V1: -0.001..0.000983,C1: -0.717..0.677,S1: -0.001..0,H1: 0.499..0.5,,-0.1424098259167857
0G/USDT,13,Saturday,2026-03-07,V1: -0.001..0.000983,C1: -0.717..0.677,S1: -0.001..0,H1: 0.499..0.5,,-0.188337199999984
ASTER/USDT,13,Saturday,2026-03-07,V1: -0.001..0.000983,C1: -0.717..0.677,S1: -0.001..0,H1: 0.499..0.5,,-0.40202042908800073
ASTER/USDT,13,Saturday,2026-03-07,V1: -0.001..0.000983,C1: -0.717..0.677,S1: -0.001..0,H1: 0.499..0.5,,-0.20006078060799207
TAO/USDT,13,Saturday,2026-03-07,V1: -0.001..0.000983,C1: -0.717..0.677,S1: -0.001..0,H1: 0.499..0.5,,-0.16045245035519415
XLM/USDT,13,Saturday,2026-03-07,V2: 0.000983..0.0338,C1: -0.717..0.677,S1: -0.001..0,H1: 0.499..0.5,,-1.3091933737063077
XRP/USDT,13,Saturday,2026-03-07,V1: -0.001..0.000983,C1: -0.717..0.677,S1: -0.001..0,H1: 0.499..0.5,,-0.19452598060801363
WLD/USDT,13,Saturday,2026-03-07,V1: -0.001..0.000983,C1: -0.717..0.677,S1: -0.001..0,H1: 0.499..0.5,,-0.2134791820479774
XLM/USDT,13,Saturday,2026-03-07,V2: 0.000983..0.0338,C1: -0.717..0.677,S1: -0.001..0,H1: 0.499..0.5,,-0.13612027822077077
HYPE/USDT,13,Saturday,2026-03-07,V2: 0.000983..0.0338,C1: -0.717..0.677,S1: -0.001..0,H1: 0.499..0.5,,-0.395036445935994
