regime_type,regime,hour_of_day,expectancy,profit_factor,winrate,trade_count
hour_of_day,13,13,-0.26245103926240043,0.026535135970515867,0.029411764705882353,68
hour_of_day,15,15,-0.3208858990011175,0.02856582143630818,0.031476997578692496,413
hour_of_day,14,14,-0.36502348978462595,0.03960215652454335,0.02356020942408377,382
hour_of_day,16,16,-0.3997601281313068,0.02193609469396605,0.019027484143763214,473
hour_of_day,18,18,-0.4451124531474418,0.015816794247828055,0.0196078431372549,408
hour_of_day,17,17,-0.4866300096631144,0.023951365131967196,0.01646090534979424,243
hour_of_day,21,21,-0.5522217904591936,0.08958586443780946,0.03594771241830065,306
hour_of_day,19,19,-0.58567944351586,0.022793030923442936,0.00686106346483705,583
hour_of_day,20,20,-0.6020185377205332,0.006046075293219652,0.0106951871657754,561
hour_of_day,22,22,-0.6379582912972184,0.11218903043183492,0.04071246819338423,393
hour_of_day,0,0,-0.6644278738487219,0.07208355150800327,0.039301310043668124,229
hour_of_day,1,1,-0.7854973725141707,0.03181104664236964,0.027700831024930747,361
hour_of_day,2,2,-0.8526508823632406,0.10286527066235134,0.06299212598425197,381
hour_of_day,23,23,-0.8995884218858065,0.012108944897956836,0.024193548387096774,248
hour_of_day,3,3,-0.9640946818801552,0.023941633673147507,0.02707275803722504,591
hour_of_day,4,4,-1.1417390163577223,0.022747648497806798,0.02706766917293233,665
hour_of_day,9,9,-1.2304337622894177,0.061841452509164785,0.05217391304347826,115
hour_of_day,6,6,-1.2692057494989257,0.055244868201633296,0.050387596899224806,258
hour_of_day,10,10,-1.3467044303107614,0.06295816217540685,0.04,250
hour_of_day,11,11,-1.4195757426854816,0.17445314261386072,0.16049382716049382,81
hour_of_day,5,5,-1.5030312441154494,0.02675552484421463,0.03142857142857143,350
hour_of_day,12,12,-1.5708437335411167,0.1925786432517781,0.11458333333333333,96
hour_of_day,8,8,-1.7474922870634018,0.15054792265970415,0.09523809523809523,42
hour_of_day,7,7,-1.7856812630864631,0.05716267800643883,0.07142857142857142,70
