coin,hour_of_day,expectancy,profit_factor,winrate,trade_count
FF/USDT,21,3.9558214827198888,inf,1.0,1
H/USDT,7,3.285914159438641,inf,1.0,1
VELVET/USDT,4,2.9297788496159,inf,1.0,1
APR/USDT,12,2.91991671957892,3.591097398985442,0.5,2
MYX/USDT,3,1.2811399711440445,inf,1.0,1
GRASS/USDT,2,1.0815535232876012,6.499775120166613,0.42857142857142855,7
KITE/USDT,2,0.5809048470058518,1.8553273553739094,0.5714285714285714,7
KITE/USDT,16,0.39799377854822293,6.878248420968077,0.25,4
MYX/USDT,2,0.39544242913500627,1.7306671084468315,0.5,2
KITE/USDT,0,0.3156637222132048,1.6782910593477918,0.25,8
GRASS/USDT,0,0.2242001827706252,5.086523407848199,0.25,4
STO/USDT,2,0.13894897323526112,1.2996812969517877,0.5,2
MYX/USDT,11,0.10137838888017825,inf,1.0,1
ZEC/USDT,22,0.09935993059782441,1.097534012441415,0.18181818181818182,22
MON/USDT,22,0.07001826763226005,1.220097994502062,0.25,4
MYX/USDT,14,0.03597577168801225,1.1136149082138556,0.25,4
H/USDT,11,-0.03823443390554817,0.9511230025315235,0.42857142857142855,7
HOME/USDT,22,-0.1002901743786055,0.867822931895342,0.3333333333333333,3
HBAR/USDT,17,-0.12070747218885114,0.0,0.0,1
BERA/USDT,13,-0.12074279318920315,0.0,0.0,4
LA/USDT,1,-0.13583899900794838,0.0,0.0,1
H/USDT,17,-0.13920279424812276,0.2717363598201602,0.16666666666666666,6
H/USDT,23,-0.13991632327917125,0.0,0.0,1
TAO/USDT,0,-0.14183004512159425,0.0,0.0,1
MYX/USDT,13,-0.15548557551085138,0.30889660101727345,0.2857142857142857,7
BCH/USDT,15,-0.16984879313598844,0.0,0.0,2
XRP/USDT,17,-0.17904779659198886,0.0,0.0,1
LA/USDT,13,-0.18915117062398762,0.0,0.0,1
RIVER/USDT,21,-0.18928455102450154,0.7182401432058387,0.26666666666666666,15
GRASS/USDT,15,-0.19791565648585363,0.02999254721837321,0.06666666666666667,15
BGB/USDT,14,-0.20402097993099583,0.0,0.0,8
0G/USDT,14,-0.2049342197475527,0.0,0.0,9
XAUT/USDT,16,-0.20594799999999575,0.0,0.0,2
ADA/USDT,15,-0.20723769686538182,0.05451450073696197,0.043478260869565216,23
MON/USDT,16,-0.20762220064427547,0.1841238623858588,0.14285714285714285,7
0G/USDT,13,-0.2118866178299807,0.0,0.0,4
HYPE/USDT,13,-0.21270377933126197,0.0,0.0,11
PI/USDT,2,-0.2137257150602335,0.7454675204403637,0.3333333333333333,15
TAO/USDT,13,-0.2178416272531458,0.0,0.0,11
SONIC/USDT,21,-0.2179464162407907,0.06141622284545801,0.5,2
