step,trade_count,winrate,expectancy,profit_factor,avg_win,avg_loss,avg_duration,trades,avg_pnl
15,5,1.0,7.236067547704674,inf,7.236067547704674,,,5,7.236067547704674
12,1,1.0,5.5343310911919845,inf,5.5343310911919845,,,1,5.5343310911919845
14,2,1.0,5.199803159477889,inf,5.199803159477889,,,2,5.199803159477889
20,1,1.0,4.648556501728526,inf,4.648556501728526,,,1,4.648556501728526
13,3,1.0,2.6634385015348934,inf,2.6634385015348934,,,3,2.6634385015348934
18,3,1.0,2.6247205203664223,inf,2.6247205203664223,,,3,2.6247205203664223
5,9,1.0,2.341825501774651,inf,2.341825501774651,,,9,2.341825501774651
25,1,1.0,1.444729855223077,inf,1.444729855223077,,,1,1.444729855223077
9,1,1.0,1.2869746723246562,inf,1.2869746723246562,,,1,1.2869746723246562
4,18,0.7777777777777778,1.2715263714766833,7.262990411094076,1.8958482207332679,-0.9136001009213627,,18,1.2715263714766833
7,6,0.6666666666666666,1.200694605191479,4.665602216868627,2.2923777923791295,-0.9826717691838227,,6,1.200694605191479
8,4,1.0,0.8083536098329382,inf,0.8083536098329382,,,4,0.8083536098329382
3,70,0.5714285714285714,0.8043201500979319,6.485400495999409,1.6641614467960288,-0.3421349121661975,,70,0.8043201500979319
11,3,0.6666666666666666,0.6374850798383703,3.8417953310278588,1.2927147725503974,-0.6729743055856836,,3,0.6374850798383703
10,3,1.0,0.5194153183642493,inf,0.5194153183642493,,,3,0.5194153183642493
6,2,1.0,0.5017179315165697,inf,0.5017179315165697,,,2,0.5017179315165697
2,183,0.31693989071038253,0.07530628725232939,1.297470540639766,1.0363533983104856,-0.370619572278655,,183,0.07530628725232939
1,7252,0.011720904578047435,-0.8536318232903295,0.00809163652655677,0.594120148509501,-0.870802036434321,,7252,-0.8536318232903295
