step,trades,winrate,expectancy,profit_factor
1,7252,0.011720904578047435,-0.8536318232903295,0.00809163652655677
2,183,0.31693989071038253,0.07530628725232939,1.297470540639766
3,70,0.5714285714285714,0.8043201500979319,6.485400495999409
4,18,0.7777777777777778,1.2715263714766833,7.262990411094076
5,9,1.0,2.341825501774651,inf
6,2,1.0,0.5017179315165697,inf
7,6,0.6666666666666666,1.200694605191479,4.665602216868627
8,4,1.0,0.8083536098329382,inf
9,1,1.0,1.2869746723246562,inf
10,3,1.0,0.5194153183642493,inf
11,3,0.6666666666666666,0.6374850798383703,3.8417953310278588
12,1,1.0,5.5343310911919845,inf
13,3,1.0,2.6634385015348934,inf
14,2,1.0,5.199803159477889,inf
15,5,1.0,7.236067547704674,inf
18,3,1.0,2.6247205203664223,inf
20,1,1.0,4.648556501728526,inf
25,1,1.0,1.444729855223077,inf
