coin,hour,volatility_bucket,expectancy,profit_factor,trade_count
APR/USDT,12,"(0.00201, 0.0338]",8.09364043284494,inf,1
FF/USDT,21,"(0.00201, 0.0338]",3.9558214827198888,inf,1
H/USDT,7,"(0.00201, 0.0338]",3.285914159438641,inf,1
VELVET/USDT,4,"(0.00201, 0.0338]",2.9297788496159,inf,1
HOME/USDT,2,"(0.00201, 0.0338]",2.2123618722573037,inf,1
HOME/USDT,22,"(0.00201, 0.0338]",1.9753981780097314,inf,1
MYX/USDT,2,"(0.00201, 0.0338]",1.8732996120300185,inf,1
HOME/USDT,7,"(0.00201, 0.0338]",1.7507677316653,inf,2
RECALL/USDT,1,"(0.00201, 0.0338]",1.2869746723246562,inf,1
MYX/USDT,3,"(0.00201, 0.0338]",1.2811399711440445,inf,1
HOME/USDT,11,"(0.00201, 0.0338]",1.257932416909848,1.6411556362316297,5
STO/USDT,2,"(0.00201, 0.0338]",1.2052095581632265,inf,1
LPT/USDT,10,"(0.00201, 0.0338]",1.153698288560181,inf,1
GRASS/USDT,2,"(0.00201, 0.0338]",1.0815535232876012,6.499775120166613,7
ZEC/USDT,22,"(0.00201, 0.0338]",0.6077593372302068,1.5288429016947593,14
KITE/USDT,2,"(0.00201, 0.0338]",0.5809048470058518,1.8553273553739094,7
GRASS/USDT,0,"(0.00201, 0.0338]",0.5501586707452296,70.04336556812041,2
MON/USDT,22,"(0.00201, 0.0338]",0.528295174328894,3.1303284457168257,2
0G/USDT,6,"(0.00201, 0.0338]",0.46021282368105565,inf,1
ETH/USDT,18,"(0.00201, 0.0338]",0.42951998163203625,inf,1
KITE/USDT,16,"(0.00201, 0.0338]",0.39799377854822293,6.878248420968077,4
MON/USDT,16,"(0.00201, 0.0338]",0.32798778902918124,inf,1
MOODENG/USDT,22,"(0.00201, 0.0338]",0.3266223981456088,inf,1
KITE/USDT,0,"(0.00201, 0.0338]",0.3156637222132048,1.6782910593477918,8
0G/USDT,15,"(0.00201, 0.0338]",0.25843215360004546,inf,1
AAVE/USDT,2,"(0.00201, 0.0338]",0.22118830560006053,inf,1
ASTER/USDT,2,"(0.00201, 0.0338]",0.1200285145669906,inf,1
MYX/USDT,14,"(0.00201, 0.0338]",0.10589039268001166,1.2906898641922313,3
MYX/USDT,11,"(0.00201, 0.0338]",0.10137838888017825,inf,1
GRASS/USDT,15,"(0.0012, 0.00201]",0.09179302677600623,inf,1
ZEC/USDT,4,"(0.0012, 0.00201]",0.05968250326402064,inf,1
SONIC/USDT,21,"(0.00201, 0.0338]",0.028522644422415533,inf,1
MON/USDT,23,"(0.0012, 0.00201]",0.020993625292828832,inf,1
MORPHO/USDT,2,"(0.0012, 0.00201]",0.013680382392030704,2.1181702817727226,3
BERA/USDT,12,"(0.0012, 0.00201]",-0.005879017248114127,0.0,1
RECALL/USDT,0,"(0.0012, 0.00201]",-0.02739592506944788,0.0,1
MORPHO/USDT,0,"(0.0012, 0.00201]",-0.03569411339992895,0.0,1
H/USDT,11,"(0.00201, 0.0338]",-0.03823443390554817,0.9511230025315235,7
ZRO/USDT,8,"(0.0012, 0.00201]",-0.04233798979193448,0.0,1
HYPE/USDT,22,"(0.00201, 0.0338]",-0.0450345954239911,0.4553093721080456,2
GRASS/USDT,0,"(0.0012, 0.00201]",-0.04985747308798655,0.0,1
SUI/USDT,16,"(0.00201, 0.0338]",-0.054301015835982375,0.0,1
MON/USDT,5,"(0.0012, 0.00201]",-0.05925729709990979,0.0,1
MYX/USDT,13,"(0.00201, 0.0338]",-0.0677184946759936,0.6423380765939418,4
BERA/USDT,13,"(0.0012, 0.00201]",-0.06960724949118643,0.0,1
MYX/USDT,23,"(0.0012, 0.00201]",-0.08113332844794552,0.0,1
ALCH/USDT,15,"(0.0012, 0.00201]",-0.08385772699199817,0.0,1
0G/USDT,14,"(0.00201, 0.0338]",-0.08747453831997717,0.0,1
MON/USDT,22,"(0.0012, 0.00201]",-0.09139939719115281,0.0,1
0G/USDT,16,"(0.0012, 0.00201]",-0.09192929174397046,0.0,1
KITE/USDT,17,"(0.0012, 0.00201]",-0.0920678735791958,0.0,1
H/USDT,18,"(0.0012, 0.00201]",-0.09345568553076147,0.0,2
0G/USDT,13,"(0.000792, 0.0012]",-0.09483157724797439,0.0,1
